Date,Open,High,Low,Close,Adj Close,Volume,BB_upper,BB_mid,BB_lower,MACD,MACD_signal,RSI,RSI_ema,RSI_signal,MACD_flip,BB_width,BB_diverging,Signal,PnL,ROI
2021-07-08,87.86000061035156,90.33999633789062,87.44999694824219,89.73999786376953,89.73999786376953,45673500,96.05986649919485,86.4604995727539,76.86113264631295,3.193670506954234,2.781315233575824,59.293607210511,66.00110555705712,0,0,19.1987338528819,-1,-0.6132531606384007,,
2021-07-09,90.04000091552734,91.26000213623047,88.52999877929688,90.9000015258789,90.9000015258789,35278400,96.4361453196472,86.92749977111816,77.41885422258913,3.0636706827768023,2.8377863234160197,61.63577458028576,65.41906142682093,0,0,19.017291097058063,-1,-0.5971910886884891,,
2021-07-12,91.22000122070312,91.9000015258789,89.6500015258789,90.80999755859375,90.80999755859375,28526600,96.68772091872523,87.40249977111816,78.11727862351108,2.919725539005043,2.8541741665338245,61.340862770930386,64.87530160603552,0,0,18.57044229521415,-1,-0.5925298945091856,,
2021-07-13,90.4800033569336,91.41000366210938,89.83000183105469,90.26000213623047,90.26000213623047,30367600,96.79564513598112,87.8379997253418,78.88035431470249,2.7298005004881674,2.8292994333246932,59.46833950386134,64.15437332574562,0,-1,17.91529082127863,-1,-0.5996050148171265,,
2021-07-14,90.76000213623047,91.4000015258789,88.94000244140625,89.05000305175781,89.05000305175781,28108500,96.56998464214391,88.26699981689453,79.96401499164514,2.4533658510313785,2.75411271686603,55.45738806335048,62.994775290759605,0,0,16.605969650498764,-1,-0.6209903724019389,,
2021-07-15,89.77999877929688,89.77999877929688,86.18000030517578,86.93000030517578,86.93000030517578,38944700,96.05948417575246,88.60799980163574,81.15651542751903,2.039710384054061,2.6112322503036363,49.19655211716268,61.15501220094668,0,0,14.902968748233434,-1,-0.6616298631689222,-25.12932857826896,-0.02893204239291298
2021-07-16,87.31999969482422,88.02999877929688,85.68000030517578,85.88999938964844,85.88999938964844,35860700,96.00301755673898,88.67449989318848,81.34598222963798,1.609413744197255,2.41086854908236,46.42750563793225,59.191344659211424,0,0,14.657035327101,-1,-0.7186193102342066,,
2021-07-19,84.98999786376953,87.2300033569336,84.23999786376953,86.58000183105469,86.58000183105469,39244800,95.93395943213275,88.77099990844727,81.60804038476178,1.308988779587466,2.190492595183381,48.498674803987576,57.76565534518158,0,0,14.325919047370974,-1,-0.7813008422813583,,
2021-07-20,87.08999633789062,87.7699966430664,85.16999816894531,87.11000061035156,87.11000061035156,28089000,95.63134315341338,88.99700012207032,82.36265709072725,1.1009749489158764,1.9725890659298801,50.09466281198862,56.74285634075585,0,0,13.268686062686129,-1,-0.8432791425924345,,
2021-07-21,87.25,89.48999786376953,86.9000015258789,89.41000366210938,89.41000366210938,29469900,95.43991944270125,89.28850021362305,83.13708098454485,1.1089304538129312,1.7998573435064904,56.40796515369478,56.69820418248104,0,0,12.302838458156401,-1,-0.8924092259934784,-35.59609713123801,-0.040982702264230925
2021-07-22,89.4000015258789,91.36000061035156,89.08000183105469,91.20999908447266,91.20999908447266,33730100,95.3193930876302,89.65800018310547,83.99660727858074,1.2461153935781937,1.689108953520831,60.60793361035635,57.219501439531086,1,0,11.322785809049464,-1,-0.12840528512608662,,
2021-07-23,91.3499984741211,92.37000274658203,90.19000244140625,92.1500015258789,92.1500015258789,31708900,95.47371021346812,89.96050033569335,84.44729045791858,1.4143816762577046,1.6341634980682058,62.632690918692134,57.94126003675256,0,0,11.02641975554954,-1,-0.9395375260602661,,
2021-07-26,92.01000213623047,92.75,91.12000274658203,91.81999969482422,91.81999969482422,27668500,95.46036022398458,90.27050018310547,85.08064014222636,1.5037709918198203,1.6080849968185287,61.43876133148225,58.40759354271652,0,0,10.379720081758222,-1,-0.9469550341091373,,
2021-07-27,92.94000244140625,94.0999984741211,89.0999984741211,91.02999877929688,91.02999877929688,69427000,95.45379326345864,90.46800003051757,85.48220679757651,1.4936483484509893,1.5851976671450208,58.56082767331635,58.42802476012983,0,0,9.971586465882126,-1,-0.9534648772341333,,
2021-07-28,93.44000244140625,98.70999908447266,89.6500015258789,97.93000030517578,97.93000030517578,140561000,96.81365000758993,90.88850021362305,84.96335041965617,2.0191233410560443,1.6719828019272254,71.2347847280764,60.13559275585604,0,1,11.850299587933762,1,1.879904710361748,-63.99244336912789,-0.07367614612603499
2021-07-29,96.58000183105469,105.73999786376953,96.58000183105469,102.94999694824219,102.94999694824219,164091800,99.18421755636943,91.33950004577636,83.49478253518329,2.8082658926458635,1.899239420070953,76.79531035055297,62.35688843514896,0,0,15.689435021186142,1,1.9445433097237879,,
2021-07-30,101.5999984741211,106.97000122070312,101.37999725341797,106.19000244140625,106.19000244140625,125632000,102.14280930943723,91.98350028991699,81.82419127039675,3.65299891807382,2.249991319671526,79.54383389982405,64.6484811637723,0,0,20.318618039040473,1,2.0443076716990105,,
2021-08-02,105.93000030517578,110.33000183105469,103.83000183105469,108.62999725341797,108.62999725341797,115581900,105.13858818989652,92.68000030517578,80.22141242045504,4.467840630486137,2.6935611818344483,81.33667031833645,66.87357305104752,0,0,24.917175769441485,1,2.1704722465466872,,
2021-08-03,108.1500015258789,114.8499984741211,107.66000366210938,112.55999755859375,112.55999755859375,157723100,108.76165301416219,93.58450012207031,78.40734722997843,5.3688381146353095,3.2286165683946204,83.79949423174115,69.13036254180666,0,0,30.354305784183765,1,2.3226580488826656,81.077223793594,0.0933462932998722
2021-08-04,114.36000061035156,122.48999786376953,114.16000366210938,118.7699966430664,118.7699966430664,225368700,113.6342588196294,94.99599990844726,76.35774099726513,6.508949026452171,3.8846830600061306,86.77032014973005,71.48235688952978,0,0,37.27651782236427,1,2.5092630395426734,,
2021-08-05,116.62999725341797,117.68000030517578,111.58999633789062,112.3499984741211,112.3499984741211,137860900,116.0508497579428,96.12649993896484,76.20215011998688,6.815885652985955,4.470923578602095,72.05862679520044,71.55919287695254,0,0,39.84869963795592,1,2.6760074288627376,-46.949389809508524,-0.0540540401650344
2021-08-06,110.55000305175781,116.26000213623047,109.69999694824219,110.11000061035156,110.11000061035156,143899000,117.74937817192696,97.08699989318848,76.42462161444999,6.799999868083674,4.936738836498411,67.74291225865919,71.05035546118009,-2,0,41.324756557476974,1,1.217491051227295,,
2021-08-09,111.30999755859375,112.33000183105469,107.05999755859375,107.58000183105469,107.58000183105469,115749900,118.86020841556532,97.92550010681153,76.99079179805773,6.508237599876338,5.251038589173996,63.14300213393413,69.99604168421396,0,0,41.869416617507596,1,2.897895539477756,-19.957003743772038,-0.02297701176344401
